"","st_fips","cty_fips","pop","mcare_elig","unemp","pct_pov","uninsured","median_inc","mcare_enroll","year"
"288",8,77,147083,25715,9.6,12.2,18.1,47778,22002,2011
"289",8,79,708,211,5,11.2,22.1,46956,174,2011
"290",8,81,13451,1754,8.5,11.9,18.5,52257,1441,2011
"291",8,83,25442,4950,8.5,16.4,22.3,41817,4134,2011
"292",8,85,41011,8352,10.9,16.6,23,43035,7323,2011
"293",8,87,28175,4371,6.3,15.3,23.5,41246,3686,2011
"294",8,89,18865,4238,9.1,23.9,19.5,30420,3524,2011
"295",8,91,4356,903,7.7,9.8,20.7,57922,716,2011
"296",8,93,16089,2231,7.8,9.9,17.7,58565,1683,2011
"297",8,95,4399,873,4.4,12.4,22.9,43826,856,2011
"298",8,97,17102,1989,7.8,7.5,17.8,69229,1588,2011
"299",8,99,12549,2123,5.8,21,22.6,36563,1779,2011
"300",8,101,160545,30609,10.2,19,15.3,40764,23863,2011
"301",8,103,6782,937,5.5,10.1,18.3,60022,799,2011
"302",8,105,11956,2542,9.3,18.5,21.9,37472,1953,2011
"303",8,107,23239,2286,8.2,8.7,15.8,64998,1912,2011
"304",8,109,6228,861,10,29.7,31.4,30746,840,2011
"305",8,111,692,90,10.3,18,19.9,36547,76,2011
"306",8,113,7490,583,7.5,11.1,21,57578,523,2011
"307",8,115,2364,615,5.3,13.8,21.9,37511,551,2011
"308",8,117,27972,2132,7.5,10.5,21.1,60397,1902,2011
"309",8,119,23356,3935,8.7,9.3,14.3,60313,3168,2011
"310",8,121,4770,881,4.8,12.6,22.8,43433,809,2011
"311",8,123,258638,29727,9.3,14.4,17.8,51773,23300,2011
"312",8,125,10100,1746,3.8,13.6,23.1,46246,1539,2011
"313",9,1,925899,136463,8,9.4,11.7,77065,121575,2011
"314",9,3,894705,151662,9.2,12.4,10,60947,129049,2011
"315",9,5,188789,35143,8.2,7.8,8.5,68658,30138,2011
"316",9,7,166043,29338,7.6,6.7,7.8,75714,25322,2011
"317",9,9,861113,143487,9.7,12.9,9.9,58985,120677,2011
"318",9,11,273502,46284,8.6,9,9,63561,39304,2011
"319",9,13,152507,21428,7.4,8,7.3,77124,17941,2011
"320",9,15,118151,19141,9.8,10.6,10.1,54911,15503,2011
"321",10,1,164834,27402,7.4,14.9,10.5,51045,21285,2011
"322",10,3,541971,80523,7.3,12,10.4,63087,65379,2011
"323",10,5,200330,47866,7.3,12.4,14,51060,41997,2011
"324",11,1,617996,80572,10.2,19.1,8.3,62087,66563,2011
