"","st_fips","cty_fips","pop","mcare_elig","unemp","pct_pov","median_inc","mcare_enroll","year","uninsured"
"326",12,115,405549,126033,5,9.7,55882,129628,2015,15.9
"327",12,117,449144,71271,4.8,11.5,57357,55819,2015,11.9
"328",12,119,118891,62246,7.5,10.1,54592,18012,2015,12
"329",12,121,43760,10437,5.5,23.6,37368,8284,2015,17.5
"330",12,123,22493,4601,6.6,21.2,39116,3577,2015,14.7
"331",12,125,15234,1981,4.8,26.2,41078,1555,2015,10.9
"332",12,127,517887,131585,5.7,16.3,42334,114378,2015,15.5
"333",12,129,31535,5194,4.6,16.5,48703,4937,2015,11.1
"334",12,131,63508,12549,4.6,14.8,47875,8844,2015,17.4
"335",12,133,24687,5353,5.9,24.8,36328,3712,2015,14.9
"336",12,1,263496,40729,4.3,22.3,45294,34001,2016,12.2
"337",12,3,27937,4546,4.9,17.2,51904,3433,2016,11.2
"338",12,5,183974,36344,4.9,14.9,48843,29396,2016,14.5
"339",12,7,26926,5442,4.3,18.6,43058,4326,2016,11.9
"340",12,9,579130,145264,5.2,14.7,51214,124074,2016,13.2
"341",12,11,1909632,303608,4.6,13.5,54055,263589,2016,15.3
"342",12,13,14423,2735,5.7,21.9,36708,2185,2016,14.3
"343",12,15,178465,63048,5.3,12.6,44935,55817,2016,15.6
"344",12,17,143621,54639,6.8,16.6,40009,47190,2016,14.8
"345",12,19,208311,37726,4.5,9.6,57476,31796,2016,10.9
"346",12,21,365136,90610,4.8,11.4,62397,84765,2016,21.6
"347",12,23,69299,14760,4.8,17.8,41667,11640,2016,12.6
"348",12,27,35800,6824,5.2,28.6,34146,5591,2016,23
"349",12,29,16300,3982,5.5,25.4,34146,3116,2016,15.2
"350",12,31,926255,150149,5,14.5,51948,121147,2016,12.8
"351",12,33,315187,65763,4.9,15.2,45004,52657,2016,11.4
"352",12,35,108310,33682,5.5,11.2,50863,29684,2016,15.3
"353",12,37,11901,2754,4.3,23.1,37479,2393,2016,15.2
"354",12,39,46006,9633,6.3,20.6,40865,7408,2016,15.5
"355",12,41,17212,3838,5.1,17.3,41721,3042,2016,15.6
"356",12,43,13970,2418,6.2,21.5,39607,2030,2016,25.7
"357",12,45,15990,3589,4.5,23.5,38381,2989,2016,13.4
"358",12,47,14361,2790,5.6,28.9,34517,2186,2016,14.4
"359",12,49,27360,4227,6.7,23.8,37612,3460,2016,21.1
"360",12,51,39290,5521,9.1,25.1,39911,4433,2016,24.9
"361",12,53,182835,56240,6.1,15.4,46225,46871,2016,14.5
"362",12,55,100917,31670,6.6,19.1,36864,27865,2016,18.5
"363",12,57,1376238,214944,4.5,15,54509,177318,2016,14
"364",12,59,19487,4712,5.4,24.2,41110,3675,2016,15.8
"365",12,61,151563,46846,6.2,12.3,49813,42079,2016,15.6
"366",12,63,48229,11036,5.3,22.6,37358,8561,2016,14
"367",12,65,13906,3366,5.3,18.9,43453,2798,2016,13.3
"368",12,67,8617,1071,4.1,23.3,40653,845,2016,20.3
"369",12,69,335396,93918,4.9,11.8,50125,81231,2016,14.2
"370",12,71,722336,175833,4.6,12.8,52989,156067,2016,17.2
"371",12,73,287822,40476,4.6,19,51041,34402,2016,10.2
"372",12,75,39961,11079,5.2,21.4,33092,8981,2016,17.2
"373",12,77,8202,1324,5.3,23.6,38900,975,2016,14.5
"374",12,79,18224,4140,5.3,31.9,33721,3261,2016,14.5
"375",12,81,375888,91664,4.6,12.7,51770,80779,2016,14.8
"376",12,83,349020,107496,5.8,17.4,39629,91780,2016,15.9
"377",12,85,158701,44620,4.9,11.3,55917,39653,2016,16.3
"378",12,86,2712945,442898,5.4,18.2,45886,392051,2016,19.4
"379",12,87,79077,16546,3.2,11.5,63892,14596,2016,19.7
"380",12,89,80622,19023,4.6,10.3,67967,16326,2016,11.8
"381",12,91,201170,37501,4,10.7,58009,31648,2016,12.1
"382",12,93,40314,8161,5.4,20.2,37689,6549,2016,21.8
"383",12,95,1314367,171664,4.4,16.3,51312,138544,2016,14.9
"384",12,97,336015,52931,5,14.8,50716,40505,2016,15
"385",12,99,1443810,301529,4.8,12.6,57607,277657,2016,16.3
"386",12,101,512368,122994,5.2,13.3,46326,101740,2016,14.8
"387",12,103,960730,232662,4.4,13.3,49974,197513,2016,13.9
"388",12,105,666149,142623,5.6,16.4,46289,117439,2016,15.6
"389",12,107,72277,18484,6.3,21.5,37526,14695,2016,16.5
